file:///abnl/?adsdata=qOiEh23BgSiGG21adVLzVDIw6Btq8p^TRRxJm3YG2EtFnT3EFEclv!2TSYLHyx3TXOl8vupEB9haAQQy3xDl^8AvcvZJBt4jYiWfHQ9o			URL is not valid
file:///abnl/?adsdata=1VrEWO34EM;993RADCxry;v0Pu7Tb8gYmEXBCRZn2ZtaFMXufHCbcMsGAHFVV;y;4JZ44QgqtzqAXyL6VuxIPybuCCHAvj455jH3			URL is not valid
http://localhost/			URL is not valid
file:///abnl/?adsdata=mANQ6Pjqr7;h7NTVSD5^D2ajR77u2qA!v74ycYukpNt9ykWM341wHXD6Uf!vqmL;v6GIT^6T2zaBSuxVxELl!qXejjrmP7ZbiuYfzVbc			URL is not valid
http://excvbsqp.cz.cc/count22.php	4	67	2016-05-28 09:23:26	Websense ThreatSeeker:malicious site AutoShun:malicious site Sophos:malicious site Yandex Safebrowsing:malware site
http://rhugplgb.cz.cc/count15.php	2	65	2017-08-24 11:11:46	Sophos:malicious site Yandex Safebrowsing:malware site
http://ldntbtg.ce.ms/count13.php	5	67	2016-07-02 13:07:44	Kaspersky:malware site AutoShun:malicious site Avira:malware site Sophos:malicious site Fortinet:malware site
http://cukhllpb.cz.cc/count16.php	3	67	2016-06-09 09:13:30	Websense ThreatSeeker:malicious site Sophos:malicious site Yandex Safebrowsing:malware site
http://intratecseguridad.com/media/tWqyjfgP.php	1	64	2017-02-21 10:43:02	Kaspersky:malware site
http://rise-hoken.jp/counter.php	1	65	2017-07-28 05:12:44	Fortinet:malware site
http://tops-mails.com/index.html	1	68	2016-12-05 08:50:29	Dr.Web:malicious site
http://hhhwxxdbgs.changeip.org/?go=2	0	64	2017-01-27 06:37:02	
http://jahdivideoners.su/main.php?page=4d81d4c54d71b36c	10	67	2016-06-09 18:28:52	BitDefender:malware site Dr.Web:malicious site Certly:malicious site Websense ThreatSeeker:malicious site AutoShun:malicious site ADMINUSLabs:malicious site Sophos:malicious site Yandex Safebrowsing:malware site Sucuri SiteCheck:malicious site Fortinet:malware site
http://reglasti.com/count8.php	7	67	2016-06-09 11:25:31	Google Safebrowsing:malware site Kaspersky:malware site ADMINUSLabs:malicious site Sophos:malicious site Yandex Safebrowsing:malware site Malware Domain Blocklist:malicious site Fortinet:malware site
